Animal,Feet Size,Wing Length
Eagle,4,28
Eagle,7,27
Eagle,4,33
Eagle,7,26
Eagle,6,34
Eagle,4,33
Eagle,4,33
Eagle,5,30
Eagle,5,30
Eagle,5,28
Eagle,3,34
Eagle,7,34
Eagle,5,28
Eagle,6,25
Eagle,6,27
Robin,7,52
Robin,10,63
Robin,8,57
Robin,15,62
Robin,15,52
Robin,15,62
Robin,13,65
Robin,10,62
Robin,8,50
Robin,7,56
Robin,7,55
Robin,12,60
Robin,14,54
Robin,10,55
Robin,8,12
Chicken,1,12
Chicken,2,11
Chicken,2,11
Chicken,1,12
Chicken,2,10
Chicken,2,11
Chicken,2,10
Chicken,1,12
Chicken,2,11
Chicken,2,12
Chicken,1,13
Chicken,3,12
Chicken,3,12
Chicken,3,13
Chicken,2,13
Chicken,1,10
Chicken,2,13
Chicken,3,12
Chicken,2,13
